title,sold_price,link,sold_date,size,condition
adidas yeezy boost 350 2023 pirate black size 10.5 - bb5350,$215.00,https://www.ebay.com/itm/306438290648?_skw=adidas+yeezy+350&epid=2310933729&itmmeta=01k2f8dszgphedn3s1vege9bea&hash=item4759253cd8:g:n5uaaesw1afolf1t&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1dyw4kbus8u9v%2banr0tixozthzxukyt38kdnoglbld%2fkn5d4--pq76l1wjbhkz1%2fys7%2bbvsbbqz1vpkxh%2bs8c5jb77g9fqizlnpzieyvlsg1evxmrdtsvfz2luazvmgn7fvesijavesv84l68gfo3wytl%2fcpr60dm2equ8rjmidja2cw0k74ahd7y6kym%2bkkwjei9ljx8a6uox4rfi4prdvcxrukixjc5dyrd9likgleqyev6jrvq3htqbjcdziwlscbc7q1zrudhtob87faa068uij4jrahyej4l7d7csd6w%3d%3d%7ctkp%3abk9sr4agt-itzg,"Aug 9, 2025",10.5,Pre-Owned ·
adidas yeezy boost 350 2015 pirate black size 10.5 aq2659,$219.99,https://www.ebay.com/itm/326690509599?_skw=adidas+yeezy+350&epid=21039800174&itmmeta=01k2f8ee10wcc9ctc5gvcr4txa&hash=item4c1045931f:g:nfiaaeswcrnn4bdd&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1dhjodyzsx4%2fhhwbpfhujzmvcjlpaf0wiv5mbiqc6%2fghwodvxdlxvjvkuvreec40vs9vy3aqs7wvuslmk8xa6aha7yi0%2b%2bp4wrm2qmgzeodf7%2bp69ah7%2fklkfz0j2dnainzvaav8%2bchckehdmclw7tonu4u8suj6sm%2b66g30o25ldgyoggnpqatnoyoghmev1n043%2b5jrg3lxsceytmqqkg%2fxdg1ltf2ezm0mw6mszhl5aym3tolayjg8f0knl4rtyqrtfzxshnt344xfsrgk%2fvb9bbxehbj%2byfsli%2flg3wfq%3d%3d%7ctkp%3abk9sr97gueitzg,"Aug 8, 2025",10.5,Pre-Owned ·
adidas yeezy boost 350 v2 core black green - size 10.5 - by9611,$325.00,https://www.ebay.com/itm/306282257626?_skw=adidas+yeezy+350&epid=5039810171&itmmeta=01k2f8ee10gcp5g1n5cy5cevqq&hash=item474fd85cda:g:fpuaaoswqu9oe5od&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1e8rzayqvhu0o0c9d4jiwhww%2bwifwhtdebldt8ii0nzhkyxotnabbehdpbxsfpvbn9obkocqfmnixq5vnbnrtojbq3wmzrg6chirptyhdxgivsbcf2mv%2fxloqrvg1mvwnu%2bdpffxkdb0meuhuajgw0n7ww0xav4sko%2fp4uy3e5zfoxrqsu0%2f3c8cx3lojeugzywizwutiiooyq%2fwcakpclkculvfbztofhoogslzgqtquvoivfryn1wl5l4h5j7dammpvh9zrwcc4fq5kpyj%2bkla%2btx65fktr4lu8%2bpyja06q%3d%3d%7ctkp%3abk9sr97gueitzg,"Aug 7, 2025",10.5,Brand New
"adidas yeezy boost 350 v2 onyx men’s size 10.5 in hand, ready to ship!!!!",$279.00,https://www.ebay.com/itm/134595214228?_skw=adidas+yeezy+350&epid=19052584131&itmmeta=01k2f8ee11gfv1v2yrmg9gnnbh&hash=item1f567ffb94:g:brcaaoswhbjkeukx&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1duz9er5p0cdjpu1gx2dfb11t6wlrglcq7adjy622hn5cfqyybp1%2brz3793shlf02%2bea%2ffotq3uxaompslibewrcefyctjgubxitvdvmwkxc72phhjwqhnr3fnttauzzspdosycz5yuuhlvdrftwzhxrzajhvsigvccpx225blporai6cziuh7le0udrcnbswihdm71ol5lqq%2bchd7hmdnyw%2fbo6grwxvh%2fvo78cupievy10kbszbc9v1lz9xfxysi%3d%7ctkp%3abk9sr-dgueitzg,"Aug 8, 2025",10.5,Brand New
adidas yeezy boost 350 v2 men's size 10.5 core white,$120.00,https://www.ebay.com/itm/127284539242?_skw=adidas+yeezy+350&epid=11039794765&itmmeta=01k2f8ee11r5bax92ds6y78htp&hash=item1da2bfef6a:g:41yaaeswdwxojr7r&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1cbh7hrf1eg%2bid2sechb59auixrctbc6rj9v9xz3woqqel9eg4geodqfx%2bxzymff8okq%2bhmpfsucwza6ao7xrwvaotceqrkicij3yu3hltqgwdarscezvk2r%2b53iwva5uqx0rgz4xala9oervnil4uxte1ngmpoiieh57nsdj80oy6wznkrcacvjztwbvwx06wgx4bvn3dhwbtqaddwbnbxpogasl8dkmi5qpdfgzqemybxqx9apdu4q8b61cyemh8%3d%7ctkp%3abk9sr-lgueitzg,"Aug 8, 2025",10.5,Pre-Owned ·
adidas yeezy 350 v2 ashblue us size 10.5 men's gy7657 pre-owned,$110.00,https://www.ebay.com/itm/365727772973?_skw=adidas+yeezy+350&epid=3044912716&itmmeta=01k2f8ee11dsj0s5433ba979sy&hash=item552712f12d:g:dewaaeswk3boc7jr&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1d4v%2beczo1jeqirjavzdrta9koy9vh4a10jdgjt7v4j88%2bapeqcqvxcs1mafvsocekf5zekn6gxbafq4uwgahqrevfpcw3bddwzt43m2ivnwax8xe8ntw7o7yehe%2fsohdskovfbpeqjyvzvbo1p4h--qhio6%2bgvt%2baberqcof83p%2fwtymcmyb1hg%2b%2bletodcnxenlh35dlkev2zd%2b%2bl78%2fn058olzdvfqpjuf7nezvqubl11fx4fnbinm79wofl1n1s16mfjymqi6h%2bf1jrnrfadelimoffw7gfngjwqozo5w%3d%3d%7ctkp%3abk9sr-lgueitzg,"Aug 8, 2025",10.5,Pre-Owned ·
⚡️ adidas men's yeezy boost 350 v2 butter us size 10.5 ⚡️,$49.00,https://www.ebay.com/itm/376454140824?_skw=adidas+yeezy+350&epid=28039802658&itmmeta=01k2f8djy7ygvkgq9wn51a187r&hash=item57a66a5398:g:jw0aaeswb5poj4b4&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1danl88eho%2fzjiszinrrlq4tmr6%2fhjrm66f0chyi2cfbjxz6klamks1oiy8anx64bgjcqpe7n5kzwsk7vnnyb6dj0r5ci2uwnp%2f4comde5stai2pjfqeqb8dj%2fpwqg8awtkmu7scowmblkotv5y9bp7a2rd6bmhukphmqwrwoubjorolmudvmcutghb78nilb8mi2l%2bbqtmdm79gxcpszotatrppehoqurzwznevz%2b0owkddqasgvo1na6ntsn4fz8%3d%7ctkp%3abk9sr7qvtuitzg,"Aug 10, 2025",10.5,Pre-Owned ·
yeezy 350 boost v2 black non reflective size 10.5 men’s replacement box,$132.00,https://www.ebay.com/itm/317160490343?_skw=adidas+yeezy+350&epid=21051118789&itmmeta=01k2f8djy7vzcem8zpj9mevrd1&hash=item49d83d0567:g:qloaaeswsh9ols5z&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1fzlyfqalohamqpf0mlw7kfls2qnmbwbs9mflt%2fngfe3%2b64zja6hairovwzx6wmjpvy02c%2fn%2fkarlayfzqgj6kqdifbhrg%2bjtghjpvt34sjypeksb1ivua3qkmsqkonxuzflzrunoqwysk2uezbxtjm%2fngfysmdeltuvqcctksszbgb7kzb%2bye523vowsoge7zd7lrb21rdtdpoig9oyxwja%2bi9reo9z%2fgu3fti3vmbvmdrxvs%2bcl9vir4hudrxcge%3d%7ctkp%3abk9sr7qvtuitzg,"Aug 10, 2025",10.5,Pre-Owned ·
adidas yeezy boost 350 v2 flax (men's) size 10. authentic,$162.51,https://www.ebay.com/itm/205649388815?_skw=adidas+yeezy+350&epid=6039897743&itmmeta=01k2f8dszg3b1chyq0ygmmjxqj&hash=item2fe1a8a50f:g:upaaaeswvfzojqoc&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1cmwoqdi0rj%2fk%2fyefq5tlusxobqhfpdzn3udtixncuqxj1vgvvbm1ozyquycqcd7stj4xtnqvb5uw8vndksqk42vfxdqhaiigatjya8vsq9temjhbjb%2fgghynnfr6src6%2fmeto1mvdmfldisvmrtjrwvvhsvdv2iu5ajrvo3ns3ym41vxfts1jiwb9eahqsdfmszylbwbv9qn858lgb83%2bj0oll4ahc7rfbo54u1cq%2folg%2bh3gex6pasg9mtkrllnc%3d%7ctkp%3abk9sr4agt-itzg,"Aug 9, 2025",10.0,Brand New
size 10 - adidas yeezy boost 350 v2 carbon beluga orange and gray (brand new),$149.99,https://www.ebay.com/itm/146756593401?_skw=adidas+yeezy+350&epid=10059066379&itmmeta=01k2f8dszgrrmqvxd8jakq6a3v&hash=item222b5fe6f9:g:ig4aaeswcphok6qy&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1cqbhlouteslg4ny4flovbt9izhkwwjr1scqy6m%2b8il9byh9rlkui9xjlz4bwccug%2bjnunnqt%2fgjoxk9b4g2eomzedgaoqp6ba5f10jgbugnmrb1qii3ha9l2ogryielnrfoorrt6zu5fdoqnpl18mzrxy6xd9jyhwvncxlxri7svwh79ub2cqxfuotuzywgg%2fqwq9dwi2%2f727wk6clbd%2bkt4lkxnk8t%2fsyj11qtvqhi0x2v778srp%2bpp9ipimbumqyuhuvr7o8gqzacf7fqtjjuihqent9ryxsvgsyuocljq%3d%3d%7ctkp%3abk9sr4agt-itzg,"Aug 9, 2025",10.0,Brand New
