title,sold_price,link,sold_date,size,condition
size 10.5 - jordan 1 retro og high obsidian unc 2019,$100.00,https://www.ebay.com/itm/167592538688?_skw=air+jordan+1+high&epid=15052281119&itmmeta=01k2f8acwf3mtg8bkax85eenc3&hash=item27054b3240:g:ijsaaoswytloukbq&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1ffamtkylfwcvxoq4i4b6l9w9rgl1rkjn8obsvsjobt67rvnbpez4l807etkh%2btwwdpolmahcd%2bhmk0yh9nputchhy2svqqitu2hbzhbdeslnotqgaddgngrtpgycgbjdpcwrtonqrzd2kyo17ndly3j%2fgp2kztrl7fhgzncjjejqmhl3mw3yp0mersv8mqnkcrtrfjjuy6145sohrmm0beukrqyeeno20tkortbxetiinuef9r85auu54tvxllipu%3d%7ctkp%3abk9sr7roqeitzg,"Aug 12, 2025",10.5,Pre-Owned ·
size 10.5 - jordan 1 retro og high shadow 2.0,$59.55,https://www.ebay.com/itm/277309179961?_skw=air+jordan+1+high&epid=7044909790&itmmeta=01k2f8acwfhmzmw587ysjps8g5&hash=item4090ea4839:g:pg8aaeswqezn5n6x&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1e19givbtf0kvjwdx9cg9kvm3gpp7iuabj5nodufedml1ibobuyiodevu7r%2fgf3cp4kliqewz%2bwd36kzviqroe2blp8soborr2h%2bxxj6vdqhenzaa%2bdsjj4r5v59pozlw143nnwzkzcpcg9a6lorzej8byxat8p1uuh6oytulyfmtltgs%2f9y9y6cwa2hkmrd6cgquduf8ojvkmeh3nztfmyw1whp6h7p5vcfznuhmcyoi74415rafps4waamn0zla9rfx%2b%2fvmuybnbophpcabuzvwu81p1cywji8xe4yrr1%2bg%3d%3d%7ctkp%3abk9sr7zoqeitzg,"Aug 12, 2025",10.5,Pre-Owned ·
size 10.5 - jordan 1 retro og high x j balvin tie dye tried on?,$325.00,https://www.ebay.com/itm/388775053451?_skw=air+jordan+1+high&epid=6052286457&itmmeta=01k2f8b0s5rj66mqxw17z1586e&hash=item5a84cc888b:g:ekaaaesw5gxoihcp&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1f6mfkoee3aqli2trt7rnepyh62kgs60qhuacwmxnuwkf6dnc2yy2db5vya2p%2fiudmkbdgxkiwqlkcntjvq6%2bkz7naue%2f%2b6a47r0vw0vb3l9tmowj813ytv20asuohi9tcud9q3a%2fjkmbwymrupi%2f5fucw%2f2nbvzul10oausb9wfro%2bnafmdh8s8dyspc8t6j1jwuq0dev%2bsxaxwarwqiyzn5dggkysqtiimtynxa5p3j1gevk0bhf00ickmtzsnx0zl%2bxxyjbvez%2fl6pifwvw%2bf7u4rzm6o62uywvztpxspw%3d%3d%7ctkp%3abk9sr_amroitzg,"Aug 11, 2025",10.5,Pre-Owned ·
nike air jordan 1 retro high royal toe og men's size 10.5 555088-041 nby 2020,$139.77,https://www.ebay.com/itm/167685072373?_skw=air+jordan+1+high&epid=12039788253&itmmeta=01k2f8b0s5wp1s3m9vmkbk1e93&hash=item270acf25f5:g:i9yaaosw2ydnzbdv&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1ev3yufqux7iqsoqqjz9mqxmk6rxrppmyeoabnzkttalcrirz7kc3xre43ohrc77gbltjnalgsslzouf8loeono11esyd463op2ypfyn6uk2n2lra7yqrv6unqvnrifuyql%2bjzehfaufkw6cbf4r08fa3rwhcjpsjsowvgcfxeagckwfvanfbgpod2j%2fkcwejbtci%2fdphfr8qaoik5vciivuv8o8oleqan1sspdr4fv7jdf1yekum8dhgsns3otd42avisfcod7w%2fsl%2fx3vqv4gvgn26i7pgyookyvedxtltw%3d%3d%7ctkp%3abk9sr_amroitzg,"Aug 11, 2025",10.5,Pre-Owned
air jordan 1 retro og high all star - chameleon - men's size 10.5 - 907958-015,$150.00,https://www.ebay.com/itm/256961374853?_skw=air+jordan+1+high&epid=15039804179&itmmeta=01k2f8b0s5ck946djt94xgp7k2&hash=item3bd4176a85:g:vz8aaoswwt5op6bz&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1fpi91iseeq%2fbpejm57a7qynpojpsuhmy0xjawut2lsyc9ba%2fdf7yryorf4bdy9dzt1kbnoqarn1i6nzq6fyqpepciyjhrqiko1fmxzbyags8zwyojw1twgyyi3xkdrlxblwahkvc0jzlyuwx7tbqbkprl5mw5tprsfleqvihvkno%2b9sluz4yextlyfnzqs1klq%2bvh4qjbc533deb2kmlfvkbg9jmsyikyxaixpylrgfs4to%2fslbmek30ffaqrwyzh0cltzu%2b6ku%2bimu2d7ldzuqmvnles5pzijkszxmfuo%2fw%3d%3d%7ctkp%3abk9sr_amroitzg,"Aug 11, 2025",10.5,Pre-Owned ·
size 10.5 - air jordan 1 retro og high lucky green (used),$89.99,https://www.ebay.com/itm/205636931934?_skw=air+jordan+1+high&epid=23060823136&itmmeta=01k2f8btks5qd7y47xahwtqvb6&hash=item2fe0ea915e:g:zzkaaeswkdvoga8d&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1ccc3sqvgcjbqfi%2fvsgtr%2fih5eqb58q%2b0t3hii2ijdrc9e4j%2b9zzviffnqhmzdyjsmjiyaj%2bydncj48%2fk6ka6voa5jdkjeoekocj2axn3no55rqqyzhakfcvtcjs3dnv2mv3ztpvgspg66seatbp9xht0%2fc9ugpzghrecuzxdazlo7g9yd0oxhwpwq7ng0y5cybm3laeyftvkqi8yhpryvnwza8kgkcosuuhhfi4%2bcnrr%2btcghko88exytt2c%2fbaqi%3d%7ctkp%3abk9sr5aqr-itzg,"Aug 10, 2025",10.5,Pre-Owned ·
nike air jordan 1 retro og high black gold basketball sneakers size 10.5 dz5485,$90.00,https://www.ebay.com/itm/187219661222?_skw=air+jordan+1+high&epid=5064575868&itmmeta=01k2f8btksn4f7q5f8vjhr4983&hash=item2b972951a6:g:hycaaoswwhloi6-j&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1dj0ur85c556horgbjclwgwlk8nasbpzmcaornmsfcnbx1burg%2bchikcih8y4zi26sgukdf08z22nk5z%2bxmydcvogigq42eluct8xjdr92wghzwrv8zetuwidzqiebpx%2fnaej3k%2fwuiegtg6jus5yaxeen8pxz%2bsufh71ym5%2bndgvvr%2b6sdop52yr%2bxnuj5bnrrks3sl5dyf5a%2beqsyg4d9%2b1xx4gr0hvq28ezfsi4d5yp1a8hx1bqpvt2vxuaiwnc%3d%7ctkp%3abk9sr5iqr-itzg,"Aug 10, 2025",10.5,Brand New
nike air jordan 1 retro high dark mocha sneakers 2020 men's size 10.5,$160.00,https://www.ebay.com/itm/326697070111?_skw=air+jordan+1+high&epid=18064221514&itmmeta=01k2f8btktbz0nvf9xkpsz8epf&hash=item4c10a9ae1f:g:3ywaaeswartofmjp&itmprp=enc%3aaqakaaaa0fkggfvd1ggdu0w3yxcmi1cd8410nxsoo1y0ylvekzomewci2xkkhjulrxfdpib4butaygnl8midygfrxne4z887p4gksj9gb%2bzn4gfc32fhqukf2bjcojsqkht%2bgbi1khv6suzsgdw0sb8rkjm47jqp61qs8d5or7bjuyq3fn9j8pl58kb%2fdmmwahtytfqogkypckgzvxqterxedb0pnsbxbtsoqsbso5ea%2bosdowvtbirkphb3ok%2bql27ipnprj6p%2bs%2bbj7kbonbxapyg2gzm%3d%7ctkp%3abk9sr5qqr-itzg,"Aug 10, 2025",10.5,Pre-Owned ·
size 10.5 - nike air jordan 1 retro og high unc reimagined dz5485-402 men’s new,$120.00,https://www.ebay.com/itm/376464213316?_skw=air+jordan+1+high&epid=3069552646&itmmeta=01k2f8btktc0h1kqn501emrqnv&hash=item57a7040544:g:vroaaeswzdvolob4&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1f9wmk0ywhdbxccyjjbdhtdqy%2ftvke4v2miihsi73buglq1cfjvxlcz%2fypehjxq6szwvr9pa1h%2bqgh4jvetfc4mpu5yiqmwo5mxiuq5rewtfbc2vk76bmclc8j9%2b%2fxzgr1fkedywebfru1dn9h5878wn4yj%2btyeig2t%2fttqzgg9a2kn%2bzbpeumwqc2rwrithxcn%2b0hk8a66nb%2bpsrwbgl%2b%2bm%2fhafrt0tfsikk3jooxqvhvpys7powph1ny%2b02gidddqmz5j7ar3%2bksipfxy6gcdtctcl8hcpsy2hk2et3xipw%3d%3d%7ctkp%3abk9sr5qqr-itzg,"Aug 10, 2025",10.5,Brand New
nike air jordan 1 retro og high washed black size 10.5 ds,$150.00,https://www.ebay.com/itm/286745592073?_skw=air+jordan+1+high&epid=19057812867&itmmeta=01k2f8btktpwxq13r5rth9n7b9&hash=item42c35e8109:g:iaaaaesw9gdojyaf&itmprp=enc%3aaqakaaaa8fkggfvd1ggdu0w3yxcmi1f%2b%2bgfjedxhuow80kpztskfvudq4xxqhvxafafwxfqidapvifdgq90e5ntina3ixwo1a7p%2fs3avu%2fvwztdksc7ylyvuevpoy%2bm4md%2fhoi5u6ofmrnjrxk96f7ksvodtpplrg%2fkdybdvqgsjzzjbsm9obwp14s6in8zc7o7ses7ugzpur%2br98uowqvgr0ouuwa3jqswn5eemvvcof%2frtcnkjklzoyj%2f%2bvibcauepkhi9zthr81xeizbueuydufqsg9xstqozoilhqgyyjyecljnggdvvqiff4om27d2y7nv68g%3d%3d%7ctkp%3abk9sr5qqr-itzg,"Aug 10, 2025",10.5,Brand New
